,ID,"Уставный капитал, млн RUB","Налоги, млн RUB","Страховые взносы в ПФР, млн RUB","Страховые взносы в ФОМС, млн RUB","Страховые взносы в ФСС, млн RUB","Основные средства , млн RUB","Чистые активы, млн RUB","Запасы, млн RUB","Выручка, млн RUB","Чистая прибыль (убыток), млн RUB","Оплата труда, млн RUB","Оплата труда, прогноз"
241,1-OAVGC,0.85,334.0,110.0,31.0,3.0,108.0,824,3404.0,2045,7.0,448,487
242,1-1TSFLZ,136.6,334.0,110.0,31.0,3.0,1064.0,2725,886.0,8281,-815.0,537,1430
243,1-1YYM6ST,1.0,355.0,84.0,22.0,6.0,179.0,1058,359.0,3779,240.0,437,606
244,1-1GQUAJC,0.01,135.0,46.0,11.0,2.0,56.0,470,308.0,954,150.0,430,165
245,1-BC2OC6,10.01,731.0,131.0,32.0,11.0,704.0,335,479.0,8841,325.0,2115,1067
246,1-1UVKQF4,16.51,236.0,118.0,27.0,1.0,54.0,33,1181.0,10826,-299.0,473,1021
247,1-NW12C,202.62,334.0,110.0,31.0,3.0,371.0,522,56.0,1569,-54.0,418,566
248,1-OGR8V,0.25,366.0,121.0,28.0,3.0,197.0,464,900.0,3735,29.0,727,559
249,1-8ZEHH,6.85,595.0,204.0,49.0,2.0,79.0,748,17.0,6662,193.0,1241,1021
250,1-111FYA,29.6,334.0,110.0,31.0,3.0,33.0,312,365.0,2873,148.0,550,583
251,1-8YOU8M9,0.01,98.0,34.0,34.0,4.0,36.0,232,2.0,2292,149.0,882,902
252,1-CLB1K,1.19,313.0,100.0,26.0,3.0,55.0,956,954.0,3148,74.0,638,568
253,1-27X1NPX,0.01,644.0,108.0,25.0,3.0,211.0,465,6984.0,5058,51.0,656,412
254,1-5DLKLFO,0.5,429.0,78.0,24.0,3.0,178.0,662,2159.0,5513,110.0,479,706
255,1-D8P6,70.0,334.0,110.0,31.0,3.0,647.0,1779,10845.0,52983,1662.0,3787,3377
256,1-1NXFDT2,512.0,1021.0,278.0,48.0,30.0,3201.0,1178,591.0,11323,195.0,1305,1428
257,1-DRWAX4,8617.05,334.0,110.0,31.0,3.0,175177.0,139702,1076.0,76450,10386.0,7147,20411
258,1-QCLBB,79.4,334.0,110.0,31.0,3.0,353.0,1967,6369.0,2491,30.0,981,490
259,1-HT49ZT0,0.01,355.0,157.0,37.0,3.0,6931.0,-160,2229.0,21084,-1456.0,1016,2334
260,1-P2ENX,0.5,334.0,110.0,31.0,3.0,3911.0,1994,306.0,835,-308.0,574,846
261,1-4CTEH,0.17,201.0,72.0,17.0,1.0,342.0,1091,2186.0,6541,142.0,433,595
262,1-CJV13CC,65.12,334.0,110.0,31.0,3.0,3159.0,3564,4384.0,51842,517.0,2801,4116
263,1-JU25,8.73,334.0,110.0,31.0,3.0,339088.0,251797,7132.0,305939,5381.0,81766,54179
264,1-9N5AB,278.03,2766.0,119.0,37.0,0.0,1698.0,3178,372.0,4837,327.0,748,1488
265,1-FQHKX,414.24,406.0,122.0,27.0,3.0,3011.0,709,418.0,6137,-267.0,713,858
266,1-J7YWP21,0.01,164.0,34.0,34.0,5.0,97.0,355,0.0,1481,127.0,881,887
267,1-P2E2N,0.02,227.0,62.0,16.0,2.0,17.0,292,84.0,1180,82.0,405,272
268,1-AZYCNJO,2.05,542.0,110.0,28.0,8.0,111.0,551,4.0,3036,344.0,814,598
269,1-9N58A,10.0,251.0,91.0,26.0,1.0,56.0,1007,1768.0,19906,136.0,524,1690
270,1-2KG143,40.0,334.0,110.0,31.0,3.0,1189.0,-13777,9523.0,23213,-2455.0,689,1003
271,1-1CMMTG8,816.61,334.0,110.0,31.0,3.0,21.0,1547,11.0,12192,252.0,426,1229
272,1-1HZ7DR,0.75,272.0,87.0,22.0,2.0,2782.0,3841,617.0,4467,456.0,546,862
273,1-3TJF1T,0.0,377.0,128.0,31.0,1.0,549.0,1052,221.0,1810,198.0,774,508
274,1-FAJP9ON,0.01,2550.0,982.0,223.0,113.0,1215.0,-1401,6335.0,36055,-413.0,5924,5633
275,1-1ZSHLD2,10.0,732.0,148.0,47.0,7.0,157.0,1046,697.0,6899,485.0,1120,1209
276,1-LDZ0A9,0.07,334.0,110.0,31.0,3.0,662.0,968,543.0,1947,102.0,911,608
277,1-PMKUU,717.37,334.0,110.0,31.0,3.0,219.0,1561,28.0,2409,130.0,1052,601
278,1-9P5ZX,51.74,144.0,77.0,24.0,1.0,64.0,2077,2671.0,1097,522.0,408,324
279,1-1ZFOUUI,123.19,147.0,71.0,20.0,4.0,1451.0,868,322.0,1716,132.0,527,441
280,1-HHETSU9,0.2,79.0,27.0,23.0,3.0,60.0,131,7.0,1075,96.0,677,554
281,1-1NEIQCG,0.06,167.0,75.0,18.0,5.0,740.0,511,894.0,1565,106.0,433,320
282,1-FQ2L86,0.1,496.0,235.0,56.0,3.0,920.0,-508,61.0,7443,312.0,1460,1002
283,1-2WBT2D,13873.47,334.0,110.0,31.0,3.0,22856.0,13944,199.0,2967,-151.0,516,826
284,1-1NEQPMS,0.01,258.0,87.0,21.0,6.0,7.0,171,20.0,1222,98.0,417,336
